gene_symbol	geneid	ensemblid	geneNcbiType	geneDSI	geneDPI	genepLI	uniprotids	protein_classid	protein_class_name	disease_name	diseaseType	diseaseUMLSCUI	diseaseClasses_MSH	diseaseClasses_UMLS_ST	diseaseClasses_DO	diseaseClasses_HPO	numCTsupportingAssociation	numPMIDs	chemicalsIncludedInEvidence	score	yearInitial	yearFinal	evidence_level	evidence_index	diseaseid
DUT	1854	ENSG00000128951	protein-coding	0.615	0.826	3.3553e-07	P33316|A0A0C4DGL3|H0YNW5	DTO_05007624	Enzyme	BMFDMS	disease	C5774218		Disease or Syndrome (T047)			0	4		0.5	1998	2022		1	C5774218
MAPK3	5595	ENSG00000102882	protein-coding	0.324	0.957	8.3786e-07	Q9BWJ1|P27361|L7RXH5	DTO_03300101	Kinase	Cancer, Squamous Cell	disease	C0751688	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)	Neoplasm (02664)|Abnormality of the integument (01574)	0	1		0.5	2011	2011		1	C0751688
STAT3	6774	ENSG00000168610	protein-coding	0.314	0.913	1	P40763|A0A7I2V395	DTO_05007557	Nucleic acid binding	Hyper-Ige Recurrent Infection Syndrome, Autosomal Dominant	disease	C3489795	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Hemic and Lymphatic Diseases (C15)|Immune System Diseases (C20)	Disease or Syndrome (T047)			0	19		0.5	2007	2021	Definitive	1	C3489795
CFTR	1080	ENSG00000001626	protein-coding	0.381	0.913	2.1646e-39	P13569	DTO_01300327	Ion channel	Alcoholism	disease	C0001973	Chemically-Induced Disorders (C25)|Mental Disorders (F03)	Mental or Behavioral Dysfunction (T048)	disease of mental health (150)		0	1		0.5	1998	1998		1	C0001973
ERBB3	2065	ENSG00000065361	protein-coding	0.389	0.913	2.4388e-16	P21860	DTO_03300101	Kinase	Depressions, Unipolar	disease	C0041696	Mental Disorders (F03)	Mental or Behavioral Dysfunction (T048)	disease of mental health (150)		0	1		0.5	2012	2012		0	C0041696
TYMP	1890	ENSG00000025708	protein-coding	0.435	0.87	6.8807e-20	P19971|B2RBL3|E5KRG5	DTO_05007624	Enzyme	Malignant neoplasm of head of pancreas	disease	C0153458	Neoplasms (C04)|Endocrine System Diseases (C19)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		0	1		0.5	2007	2007		1	C0153458
TYMP	1890	ENSG00000025708	protein-coding	0.435	0.87	6.8807e-20	P19971|B2RBL3|E5KRG5	DTO_05007624	Enzyme	Malignant neoplasm of tail of pancreas	disease	C0153460	Neoplasms (C04)|Endocrine System Diseases (C19)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		0	1		0.5	2007	2007		1	C0153460
GARS1	2617	ENSG00000106105	protein-coding	0.569	0.739	0.00051213	P41250	DTO_05007624	Enzyme	Roussy Levy Syndrome	disease	C0205713	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Nervous System Diseases (C10)	Disease or Syndrome (T047)	genetic disease (630)|disease of anatomical entity (7)		0	0		0.5				1	C0205713
PCNA	5111	ENSG00000132646	protein-coding	0.342	0.913	0.99494	P12004	DTO_05007557	Nucleic acid binding	Focal Glomerulosclerosis	disease	C0017668	Urogenital Diseases (C12)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the genitourinary system (00119)	0	1		0.5	2006	2006		1	C0017668
ERBB3	2065	ENSG00000065361	protein-coding	0.389	0.913	2.4388e-16	P21860	DTO_03300101	Kinase	Bipolar Disorders	disease	C0005586	Mental Disorders (F03)	Mental or Behavioral Dysfunction (T048)	disease of mental health (150)	Abnormality of the nervous system (00707)	0	1		0.5	2012	2012		1	C0005586
RPL13A	23521	ENSG00000142541	protein-coding	0.693	0.565	0.99992	Q8J015|A0A384ME37|P40429	DTO_05007557	Nucleic acid binding	Lung adenocarcinoma	disease	C0152013	Neoplasms (C04)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)	Neoplasm (02664)|Abnormality of the respiratory system (02086)	0	1		0.5	2016	2016		1	C0152013
GARS1	2617	ENSG00000106105	protein-coding	0.569	0.739	0.00051213	P41250	DTO_05007624	Enzyme	Hereditary motor and sensory neuropathy, types I-IV	disease	C1408182		Disease or Syndrome (T047)	genetic disease (630)|disease of anatomical entity (7)		0	0		0.5				1	C1408182
PKM	5315	ENSG00000067225	protein-coding	0.484	0.87	0.96074	A0A804F6T5|P14618|A0A804F729|V9HWB8|B4DNK4	DTO_03300101	Kinase	Osteoporoses	disease	C0029456	Nutritional and Metabolic Diseases (C18)|Musculoskeletal Diseases (C05)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the musculoskeletal system (33127)	0	1		0.5	2008	2008		1	C0029456
STAT3	6774	ENSG00000168610	protein-coding	0.314	0.913	1	P40763|A0A7I2V395	DTO_05007557	Nucleic acid binding	Chronic left-sided ulcerative colitis (disorder)	disease	C0375359	Digestive System Diseases (C06)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	2		0.5	2008	2010		1	C0375359
NQO1	1728	ENSG00000181019	protein-coding	0.439	0.913	2.3078e-08	P15559|B4DLR8			Hyperglycemia	disease	C0020456	Nutritional and Metabolic Diseases (C18)	Disease or Syndrome (T047)	genetic disease (630)|disease of metabolism (0014667)	Abnormality of metabolism/homeostasis (01939)	0	1		0.5	2013	2013		1	C0020456
HSPD1	3329	ENSG00000144381	protein-coding	0.403	0.957	1	A0A024R3X4|P10809			Hypertrophic cardiomyopathy	disease	C0007194	Cardiovascular Diseases (C14)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the cardiovascular system (01626)	0	1		0.5	1998	1998		1	C0007194
FLNA	2316	ENSG00000196924	protein-coding	0.387	0.913		Q6NXF2|P21333|Q60FE5			chondrodystrophy	disease	C0008449	Skin and Connective Tissue Diseases (C17)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Musculoskeletal Diseases (C05)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	1		0.5	2003	2003		1	C0008449
CDKN1A	1026	ENSG00000124762	protein-coding	0.378	0.957	1.7452e-05	P38936			Nephropathy	disease	C0022658	Urogenital Diseases (C12)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the genitourinary system (00119)	2	1		0.5	2007	2007		1	C0022658
LONP1	9361	ENSG00000196365	protein-coding	0.514	0.913	0.99962	P36776	DTO_05007624	Enzyme	Encephalomyelopathies, Subacute Necrotizing	disease	C0023264	Nervous System Diseases (C10)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Nutritional and Metabolic Diseases (C18)	Disease or Syndrome (T047)	genetic disease (630)|disease of metabolism (0014667)		0	11		0.5	2008	2020	Limited	0.909090909090909	C0023264
WT1	7490	ENSG00000184937	protein-coding	0.378	0.913	1	Q6PI38|P19544	DTO_05007557	Nucleic acid binding	Neurilemmoma	disease	C0027809	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the nervous system (00707)|Neoplasm (02664)	0	1		0.5	2014	2014		0.5	C0027809
ALAD	210	ENSG00000148218	protein-coding	0.538	0.826	0.096041	P13716|B7Z3I9|A0A140VJL9|Q6ZMU0	DTO_05007624	Enzyme	Neoplasm, Prostatic	disease	C0033578	Neoplasms (C04)|Urogenital Diseases (C12)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the genitourinary system (00119)	0	1		0.5	2014	2014		1	C0033578
MAPK1	5594	ENSG00000100030	protein-coding	0.336	0.957	0.99852	Q499G7|Q1HBJ4|P28482	DTO_03300101	Kinase	Batten Spielmeyer Vogt Disease	disease	C0751383	Nutritional and Metabolic Diseases (C18)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Nervous System Diseases (C10)	Disease or Syndrome (T047)	genetic disease (630)|disease of metabolism (0014667)		0	1		0.5	2013	2013		1	C0751383
AR	367	ENSG00000169083	protein-coding	0.331	0.957		Q9NUA2|P10275|F1D8N5|G4VV16|A0A087WUX9			craving alcohol (symptom)	phenotype	C0556385	Behavior and Behavior Mechanisms (F01)	Finding (T033)			0	1		0.5	2010	2010		1	C0556385
RXRB	6257	ENSG00000204231	protein-coding	0.555	0.913	0.96646	Q5STP9|P28702|A0A0G2JKR7|A0A0S2Z570|B7Z7J5	DTO_00102000	Nuclear receptor	Neoplasm, Stomach	disease	C0038356	Neoplasms (C04)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the digestive system (25031)|Neoplasm (02664)	0	1		0.5	2011	2011		1	C0038356
NQO1	1728	ENSG00000181019	protein-coding	0.439	0.913	2.3078e-08	P15559|B4DLR8			Nephropathy	disease	C0022658	Urogenital Diseases (C12)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the genitourinary system (00119)	1	1		0.5	2011	2011		1	C0022658
PTGS1	5742	ENSG00000095303	protein-coding	0.466	0.913	2.6587e-09	A0A087X296|P23219	DTO_05007624	Enzyme	Flushing	phenotype	C0016382	Pathological Conditions, Signs and Symptoms (C23)	Sign or Symptom (T184)			0	1		0.5	2005	2005		1	C0016382
MAPK1	5594	ENSG00000100030	protein-coding	0.336	0.957	0.99852	Q499G7|Q1HBJ4|P28482	DTO_03300101	Kinase	Cancer, Squamous Cell	disease	C0751688	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)	Neoplasm (02664)|Abnormality of the integument (01574)	0	1		0.5	2011	2011		1	C0751688
ERBB3	2065	ENSG00000065361	protein-coding	0.389	0.913	2.4388e-16	P21860	DTO_03300101	Kinase	MAJOR DEPRESSIVE DISORDER	disease	C1269683	Mental Disorders (F03)	Mental or Behavioral Dysfunction (T048)			0	1		0.5	2012	2012		0	C1269683
GARS1	2617	ENSG00000106105	protein-coding	0.569	0.739	0.00051213	P41250	DTO_05007624	Enzyme	Hypertrophic neuropathy of infancy	disease	C1408174		Disease or Syndrome (T047)	genetic disease (630)|disease of anatomical entity (7)		0	0		0.5				1	C1408174
PABPC1	26986	ENSG00000070756	protein-coding	0.582	0.87	1	P11940			Neoplasm, Bladder	disease	C0005695	Urogenital Diseases (C12)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the genitourinary system (00119)	0	1		0.5	2015	2015		1	C0005695
NR4A1	3164	ENSG00000123358	protein-coding	0.471	0.826	0.0014652	F5GXF0|P22736|Q6ZMM6	DTO_00102000	Nuclear receptor	Disease, Ischemic Heart	disease	C0151744	Cardiovascular Diseases (C14)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	1		0.5	2005	2005		1	C0151744
VDR	7421	ENSG00000111424	protein-coding	0.336	0.957	0.0107	F1D8P8|P11473	DTO_00102000	Nuclear receptor	Disease, Ischemic Heart	disease	C0151744	Cardiovascular Diseases (C14)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	0		0.5				1	C0151744
NQO1	1728	ENSG00000181019	protein-coding	0.439	0.913	2.3078e-08	P15559|B4DLR8			AUTISM SPECTRUM DISORDER	disease	C1510586	Mental Disorders (F03)	Mental or Behavioral Dysfunction (T048)	disease of mental health (150)	Abnormality of the nervous system (00707)	1	1		0.5	2022	2022		1	C1510586
PIK3R1	5295	ENSG00000145675	protein-coding	0.434	0.913	1	P27986|A0A2X0SFG1	DTO_03300101	Kinase	Overgrowth Syndrome	disease	C2986703	Pathological Conditions, Signs and Symptoms (C23)	Disease or Syndrome (T047)			0	2		0.5	2016	2021		1	C2986703
PPARG	5468	ENSG00000132170	protein-coding	0.334	0.957	0.21172	D2KUA6|E9PFV2|A0A494C1F9|P37231|E9PFX5	DTO_00102000	Nuclear receptor	Lymphoma, T Cell	disease	C0079772	Neoplasms (C04)|Hemic and Lymphatic Diseases (C15)|Immune System Diseases (C20)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)	Neoplasm (02664)|Abnormality of blood and blood-forming tissues (01871)	0	1		0.5	2007	2007		1	C0079772
TGFBR1	7046	ENSG00000106799	protein-coding	0.422	0.913	0.96321	B4DXN7|P36897|F8W0K6|Q5T7S2	DTO_03300101	Kinase	Ehlers Danlos Syndrome	disease	C0013720	Cardiovascular Diseases (C14)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Hemic and Lymphatic Diseases (C15)|Skin and Connective Tissue Diseases (C17)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	0		0.5				1	C0013720
WARS1	7453	ENSG00000140105	protein-coding	0.536	0.87	0.99747	A0A024R6K8|P23381	DTO_05007624	Enzyme	Cancer, Breast	disease	C0006142	Skin and Connective Tissue Diseases (C17)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)		0	0		0.5				1	C0006142
ERCC2	2068	ENSG00000104884	protein-coding	0.419	0.913	6.4219e-28	P18074	DTO_05007624	Enzyme	Ichthyosis, Lamellar	disease	C0079154	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Skin and Connective Tissue Diseases (C17)	Disease or Syndrome (T047)	genetic disease (630)|physical disorder (0080015)|disease of anatomical entity (7)	Abnormality of the integument (01574)	0	0		0.5				1	C0079154
SRC	6714	ENSG00000197122	protein-coding	0.38	0.957	0.99996	P12931	DTO_03300101	Kinase	Polycystic Kidney, Autosomal Recessive	disease	C0085548	Urogenital Diseases (C12)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)	Disease or Syndrome (T047)	genetic disease (630)|disease of anatomical entity (7)		0	1		0.5	2008	2008		1	C0085548
CFTR	1080	ENSG00000001626	protein-coding	0.381	0.913	2.1646e-39	P13569	DTO_01300327	Ion channel	Acute sinusitis	disease	C0149512	Otorhinolaryngologic Diseases (C09)|Infections (C01)|Respiratory Tract Diseases (C08)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the musculoskeletal system (33127)|Abnormality of the immune system (02715)|Abnormality of the respiratory system (02086)|Abnormality of head or neck (00152)	0	1		0.5	2005	2005		1	C0149512
SLC25A4	291	ENSG00000151729	protein-coding	0.521	0.913	0.41552	P12235|A0A0S2Z3H3	DTO_05007405	Transporter	Hypertrophy, Left Ventricular	disease	C0149721	Pathological Conditions, Signs and Symptoms (C23)|Cardiovascular Diseases (C14)	Disease or Syndrome (T047)		Abnormality of the cardiovascular system (01626)	0	0		0.5				1	C0149721
MAPK1	5594	ENSG00000100030	protein-coding	0.336	0.957	0.99852	P28482|Q499G7|Q1HBJ4	DTO_03300101	Kinase	adenocarcinoma of prostate gland	disease	C0007112	Neoplasms (C04)|Urogenital Diseases (C12)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)		0	0		0.5				1	C0007112
RARA	5914	ENSG00000131759	protein-coding	0.431	0.913	1	P10276|F1D8N9|Q6I9R7|A8MUP8|A8K840	DTO_00102000	Nuclear receptor	Fibroadenoma	disease	C0206650	Neoplasms (C04)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		0	1		0.5	2015	2015		1	C0206650
SRC	6714	ENSG00000197122	protein-coding	0.38	0.957	0.99996	P12931	DTO_03300101	Kinase	Carcinoma, Intraductal, Noninfiltrating	disease	C0007124	Neoplasms (C04)	Neoplastic Process (T191)		Abnormality of the breast (00769)|Neoplasm (02664)	0	0		0.5				1	C0007124
VEGFA	7422	ENSG00000112715	protein-coding	0.247	0.957	0.1881	A0A0Y0IMM4|P15692|A2A2V4	DTO_05007599	Signaling	Gliosarcoma	disease	C0206726	Neoplasms (C04)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		3	1		0.5	2006	2006		1	C0206726
VEGFA	7422	ENSG00000112715	protein-coding	0.247	0.957	0.1881	P15692|A2A2V4|A0A0Y0IMM4	DTO_05007599	Signaling	NEOVASCULARIZATION	phenotype	C0027686	Pathological Conditions, Signs and Symptoms (C23)	Pathologic Function (T046)			8	2		0.5	2002	2007		1	C0027686
FDPS	2224	ENSG00000160752	protein-coding	0.563	0.739	8.8509e-05	A0A087X090|P14324	DTO_05007624	Enzyme	Bone Losses, Perimenopausal	disease	C0029458	Nutritional and Metabolic Diseases (C18)|Musculoskeletal Diseases (C05)	Disease or Syndrome (T047)			0	1		0.5	2019	2019		1	C0029458
ARNT	405	ENSG00000143437	protein-coding	0.451	0.913	1	B0AZM1|A8K6P0|P27540|Q53F30	DTO_05007542	Transcription factor	ALL	disease	C0023449	Immune System Diseases (C20)|Neoplasms (C04)|Hemic and Lymphatic Diseases (C15)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of blood and blood-forming tissues (01871)|Abnormality of the immune system (02715)|Neoplasm (02664)	0	1		0.5	2012	2012		1	C0023449
CDH1	999	ENSG00000039068	protein-coding	0.319	0.913	0.85165	B3GN61|P12830|Q9UII7|A0A0U2ZQU7			Nephropathy	disease	C0022658	Urogenital Diseases (C12)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the genitourinary system (00119)	1	1		0.5	2019	2019		1	C0022658
RPS3	6188	ENSG00000149273	protein-coding	0.645	0.739	0.99993	P23396	DTO_05007557	Nucleic acid binding	Melanoma	disease	C0025202	Neoplasms (C04)|Skin and Connective Tissue Diseases (C17)	Neoplastic Process (T191)	disease of cellular proliferation (14566)	Neoplasm (02664)	0	1		0.5	2012	2012		1	C0025202
CTNNB1	1499	ENSG00000168036	protein-coding	0.278	0.913	1	B4DGU4|P35222			Stevens-Johnson Syndrome	disease	C0038325	Skin and Connective Tissue Diseases (C17)|Stomatognathic Diseases (C07)|Chemically-Induced Disorders (C25)|Immune System Diseases (C20)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	1		0.5	2015	2015		1	C0038325
ERCC2	2068	ENSG00000104884	protein-coding	0.419	0.913	6.4219e-28	P18074	DTO_05007624	Enzyme	Skin Disease	disease	C0037274	Skin and Connective Tissue Diseases (C17)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	1		0.5	2007	2007		1	C0037274
ERCC2	2068	ENSG00000104884	protein-coding	0.419	0.913	6.4219e-28	P18074	DTO_05007624	Enzyme	Skin Diseases, Genetic	disease	C0037277	Skin and Connective Tissue Diseases (C17)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	1		0.5	2007	2007		1	C0037277
BRCA1	672	ENSG00000012048	protein-coding	0.341	0.957	1.4282e-34	P38398|A0A9Y1QQK3	DTO_05007624	Enzyme	adenocarcinoma of breast (diagnosis)	disease	C0858252	Neoplasms (C04)|Skin and Connective Tissue Diseases (C17)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		0	0		0.5				1	C0858252
STAT3	6774	ENSG00000168610	protein-coding	0.314	0.913	1	A0A7I2V395|P40763	DTO_05007557	Nucleic acid binding	Epstein-Barr Virus-Positive Inflammatory Follicular Dendritic Cell Sarcoma	disease	C5419896	Neoplasms (C04)|Hemic and Lymphatic Diseases (C15)	Neoplastic Process (T191)			0	0		0.5				1	C5419896
SYK	6850	ENSG00000165025	protein-coding	0.442	0.913	1	P43405	DTO_03300101	Kinase	Mesothelioma	disease	C0025500	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)		0	1		0.5	2007	2007		1	C0025500
GARS1	2617	ENSG00000106105	protein-coding	0.569	0.739	0.00051213	P41250	DTO_05007624	Enzyme	Peripheral axonal neuropathy	disease	C1263857	Nervous System Diseases (C10)	Disease or Syndrome (T047)		Abnormality of the nervous system (00707)	0	0		0.5				1	C1263857
CALR	811	ENSG00000179218	protein-coding	0.399	0.913	0.99964	V9HW88|P27797	DTO_05007616	Calcium-binding protein	Disorder, Shared Paranoid	disease	C0036939	Mental Disorders (F03)	Mental or Behavioral Dysfunction (T048)			0	1		0.5	2012	2012		1	C0036939
WARS1	7453	ENSG00000140105	protein-coding	0.536	0.87	0.99747	A0A024R6K8|P23381	DTO_05007624	Enzyme	NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY AND SPEECH DELAY, WITH OR WITHOUT BRAIN ABNORMALITIES	disease	C5830413		Disease or Syndrome (T047)			0	3		0.5	2022	2022		1	C5830413
CALR	811	ENSG00000179218	protein-coding	0.399	0.913	0.99964	V9HW88|P27797	DTO_05007616	Calcium-binding protein	Drug Psychoses	disease	C0033937	Mental Disorders (F03)|Chemically-Induced Disorders (C25)	Mental or Behavioral Dysfunction (T048)	disease of mental health (150)		0	1		0.5	2012	2012		1	C0033937
CALR	811	ENSG00000179218	protein-coding	0.399	0.913	0.99964	V9HW88|P27797	DTO_05007616	Calcium-binding protein	Paranoid Schizophrenia	disease	C0036349	Mental Disorders (F03)	Mental or Behavioral Dysfunction (T048)	disease of mental health (150)		0	1		0.5	2008	2008		1	C0036349
PPARG	5468	ENSG00000132170	protein-coding	0.334	0.957	0.21172	D2KUA6|E9PFV2|A0A494C1F9|P37231|E9PFX5	DTO_00102000	Nuclear receptor	Malignant neoplasm of tail of pancreas	disease	C0153460	Neoplasms (C04)|Endocrine System Diseases (C19)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		0	2		0.5	2000	2002		1	C0153460
CDKN1A	1026	ENSG00000124762	protein-coding	0.378	0.957	1.7452e-05	P38936			Transitional cell neoplasm (morphologic abnormality)	disease	C0334265	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)		0	2		0.5	2002	2008		1	C0334265
PLCG2	5336	ENSG00000197943	protein-coding	0.534	0.826	0.99864	P16885	DTO_05007624	Enzyme	FAMILIAL COLD AUTOINFLAMMATORY SYNDROME 3	disease	C3280914		Disease or Syndrome (T047)	genetic disease (630)|disease of anatomical entity (7)		0	23		0.5	1976	2022		1	C3280914
CFTR	1080	ENSG00000001626	protein-coding	0.381	0.913	2.1646e-39	P13569	DTO_01300327	Ion channel	Malignant neoplasm of other parts of bronchus or lung	disease	C0153493	Neoplasms (C04)|Respiratory Tract Diseases (C08)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		0	0		0.45				1	C0153493
CALR	811	ENSG00000179218	protein-coding	0.399	0.913	0.99964	V9HW88|P27797	DTO_05007616	Calcium-binding protein	Malignant neoplasm of other parts of bronchus or lung	disease	C0153493	Neoplasms (C04)|Respiratory Tract Diseases (C08)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		0	0		0.45				1	C0153493
ERCC2	2068	ENSG00000104884	protein-coding	0.419	0.913	6.4219e-28	P18074	DTO_05007624	Enzyme	Malignant neoplasm of body of pancreas	disease	C0153459	Neoplasms (C04)|Endocrine System Diseases (C19)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		0	0		0.45				1	C0153459
RXRA	6256	ENSG00000186350	protein-coding	0.45	0.87	1	F1D8Q5|A0A5F9ZHH6|Q6P3U7|P19793	DTO_00102000	Nuclear receptor	Malignant neoplasm of body of pancreas	disease	C0153459	Neoplasms (C04)|Endocrine System Diseases (C19)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		0	0		0.45				1	C0153459
ERCC2	2068	ENSG00000104884	protein-coding	0.419	0.913	6.4219e-28	P18074	DTO_05007624	Enzyme	Malignant neoplasm of tail of pancreas	disease	C0153460	Neoplasms (C04)|Endocrine System Diseases (C19)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		0	0		0.45				1	C0153460
RXRA	6256	ENSG00000186350	protein-coding	0.45	0.87	1	F1D8Q5|A0A5F9ZHH6|Q6P3U7|P19793	DTO_00102000	Nuclear receptor	Malignant neoplasm of tail of pancreas	disease	C0153460	Neoplasms (C04)|Endocrine System Diseases (C19)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		0	0		0.45				1	C0153460
HK1	3098	ENSG00000156515	protein-coding	0.444	0.87	1	Q59FD4|P19367|B3KXY9|P78542|A8K7J7|A0A994J753	DTO_03300101	Kinase	HEMOLYTIC ANEMIA, NONSPHEROCYTIC, DUE TO HEXOKINASE DEFICIENCY	disease	C3150343		Disease or Syndrome (T047)			0	4		0.45	1983	2009		1	C3150343
CDKN1A	1026	ENSG00000124762	protein-coding	0.378	0.957	1.7452e-05	P38936			Papillomatoses	disease	C0205875	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)		0	1		0.45	2002	2002		1	C0205875
OTX2	5015	ENSG00000165588	protein-coding	0.492	0.957	0.9998	F1T0D0|F1T0C9|P32243|F1T0D1	DTO_05007542	Transcription factor	PITUITARY HORMONE DEFICIENCY, COMBINED, 6	disease	C3151440		Disease or Syndrome (T047)			0	2		0.45	2008	2012		1	C3151440
VDR	7421	ENSG00000111424	protein-coding	0.336	0.957	0.0107	P11473|F1D8P8	DTO_00102000	Nuclear receptor	Esophagitides, Peptic	disease	C0014869	Digestive System Diseases (C06)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	0		0.45				1	C0014869
FLNA	2316	ENSG00000196924	protein-coding	0.387	0.913		Q6NXF2|Q60FE5|P21333			Patent foramen ovale	disease	C0016522	Cardiovascular Diseases (C14)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)	Congenital Abnormality (T019)	physical disorder (0080015)|disease of anatomical entity (7)	Abnormality of the cardiovascular system (01626)	0	0		0.45					C0016522
GSTM3	2947	ENSG00000134202	protein-coding	0.497	0.913	1.2366e-06	Q6FGJ9|P21266			Neoplasms, Bone Tissue	disease	C0206639	Neoplasms (C04)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		0	0		0.45				1	C0206639
FLNA	2316	ENSG00000196924	protein-coding	0.387	0.913		Q6NXF2|Q60FE5|P21333			Flexion deformity	disease	C0333068	Musculoskeletal Diseases (C05)	Anatomical Abnormality (T190)		Abnormality of the musculoskeletal system (33127)	0	0		0.45					C0333068
STAT3	6774	ENSG00000168610	protein-coding	0.314	0.913	1	P40763|A0A7I2V395	DTO_05007557	Nucleic acid binding	LPFS1	disease	C3552634	Hemic and Lymphatic Diseases (C15)|Immune System Diseases (C20)|Neoplasms (C04)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)	Disease or Syndrome (T047)	genetic disease (630)|disease of anatomical entity (7)		0	0		0.45				1	C3552634
TYMP	1890	ENSG00000025708	protein-coding	0.435	0.87	6.8807e-20	E5KRG5|B2RBL3|P19971	DTO_05007624	Enzyme	Mitochondrial Dna Depletion Syndrome, Encephalomyopathic Form, With Renal Tubulopathy, Autosomal Recessive	disease	C3711125	Pathological Conditions, Signs and Symptoms (C23)|Digestive System Diseases (C06)|Musculoskeletal Diseases (C05)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Eye Diseases (C11)|Nervous System Diseases (C10)	Disease or Syndrome (T047)	genetic disease (630)|disease of metabolism (0014667)		0	2		0.45	2006	2013		1	C3711125
ALAD	210	ENSG00000148218	protein-coding	0.538	0.826	0.096041	B7Z3I9|P13716|A0A140VJL9|Q6ZMU0	DTO_05007624	Enzyme	Disease, Hemoglobin SC	disease	C0019034	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Hemic and Lymphatic Diseases (C15)	Disease or Syndrome (T047)	genetic disease (630)|disease of anatomical entity (7)		0	0		0.45				1	C0019034
